"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_s",1,8,32.5741790691305,0.822283166172887,"[27.08, 38.08]",27.078861023868,38.0779959106593,2.17555676496826,0.155053014310382
"2","facebook_s",10,8,30.6679036744266,0.602401653727479,"[26.66, 34.71]",26.6566840205279,34.7146101923761,1.59380496513696,0.113591273758809
"3","facebook_s",2,18,27.4102676338186,0.708594900758709,"[21.08, 33.76]",21.0787409550335,33.7642753023521,2.92161162160222,0.187159167581041
"4","facebook_s",3,13,38.2648901862668,6.94305082288337,"[0, 93.28]",0,93.2752201754429,24.0514335695338,1.42806148802536
"5","facebook_s",4,10,112.151802433816,49.3278048778117,"[0, 464.24]",0,464.242538572748,147.983414633435,7.67888250343049
"6","facebook_s",5,11,41.3135704015498,7.17593037064611,"[0, 94.86]",0,94.8563981467744,22.692284302018,1.41657542172536
"7","facebook_s",7,7,131.883807475755,59.9045236757869,"[0, 520.64]",0,520.644651049437,146.735516290152,8.22339074373476
"8","facebook_s",8,8,30.4041737545007,1.32038775815776,"[21.53, 39.19]",21.5303304549254,39.1922791026637,3.49341764225954,0.248977615477347
"9","facebook_s",9,11,29.7776347748793,2.10980436539023,"[14.14, 45.32]",14.1403189405197,45.3228078329321,6.67178721199926,0.449758215317282
"10","googlesearch_s",1,8,33.0646903631535,0.367374659403953,"[30.6, 35.51]",30.6008620646545,35.5149884860672,0.971981986769916,0.0692736403530559
"11","googlesearch_s",10,8,31.4263211011797,0.488572930654636,"[28.16, 34.7]",28.1644891760799,34.6998042443874,1.29264247183017,0.09212727284816
"12","googlesearch_s",2,18,29.1361049641688,0.703795903420564,"[22.83, 35.43]",22.8331670858817,35.4327879648694,2.90182484867999,0.185891621983311
"13","googlesearch_s",3,13,38.2174667920756,6.94707754868085,"[0, 93.25]",0,93.2516413397242,24.0653825568726,1.42810511569161
"14","googlesearch_s",4,10,111.452986477725,48.841230471591,"[0, 460.08]",0,460.077443222627,146.523691414773,7.60732147527447
"15","googlesearch_s",5,11,41.1573485874032,7.00315165510375,"[0, 93.4]",0,93.4008399759721,22.1459100297058,1.39083494985236
"16","googlesearch_s",7,7,131.165475202193,59.0214039668137,"[0, 514.2]",0,514.197365690772,144.572323621372,8.11456578720725
"17","googlesearch_s",8,8,33.4809018093278,1.6414035180411,"[22.48, 44.44]",22.4807672142776,44.4367301249811,4.34274550984326,0.309509635660505
"18","googlesearch_s",9,11,34.299422224427,1.49932512755382,"[23.22, 45.38]",23.2179959507883,45.3777231288171,4.74128235619255,0.319619110004181
