"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"21","season",0.0504819719948191,740.069022484216,0.0849621750823051,12.3344837080703,0.0849621750823051,740.069022484216,0.0849621750823051,12.3344837080703,0.0849621750823051,TRUE,0.54068672294,0.275361593481701,-2.88834338473582,-8.61179973787101,0.199557417994933,0.553506538042292,0.808848736566607,0.553506538042292,0.0027443119844929,0,161.164442183405,0.04155915931,3869.02962553477,1e-04,"1_217_1",1,217,1,217,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","holiday",0,0,0,0,0,0,0,0,0,TRUE,0.54068672294,0.275361593481701,-2.88834338473582,-8.61179973787101,0.199557417994933,0.553506538042292,0.808848736566607,0.553506538042292,0.0027443119844929,0,161.164442183405,0.04155915931,3869.02962553477,1e-04,"1_217_1",1,217,1,217,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","facebook_s",68.4816160239359,1970.99721328215,0.226276475888011,32.8499535547024,0.226276475888011,1970.99721328215,0.226276475888011,32.8499535547024,0.226276475888011,TRUE,0.54068672294,0.275361593481701,-2.88834338473582,-8.61179973787101,0.199557417994933,0.553506538042292,0.808848736566607,0.553506538042292,0.0027443119844929,0,161.164442183405,0.04155915931,3869.02962553477,1e-04,"1_217_1",1,217,1,217,6,104450,1740.83333333333,1990.52444177651,249.69110844318,32.9369844572352,0.630927212322561,0.628986690708635,0.0189202399945822,0.0188702461779047,52.9934792886225,NA,NA,NA,NA,NA,NA,0.304145440147693
"24","googlesearch_s",36.9949263064001,1162.60997173088,0.133471161431757,19.3768328621814,0.133471161431757,1162.60997173088,0.133471161431757,19.3768328621814,0.133471161431757,TRUE,0.54068672294,0.275361593481701,-2.88834338473582,-8.61179973787101,0.199557417994933,0.553506538042292,0.808848736566607,0.553506538042292,0.0027443119844929,0,161.164442183405,0.04155915931,3869.02962553477,1e-04,"1_217_1",1,217,1,217,6,61100,1018.33333333333,1075.67120212308,57.3378687897418,19.5144481025398,0.369072787677439,0.371013309291365,0.0191631241596135,0.0190279864440406,52.5541681954051,NA,NA,NA,NA,NA,NA,0.025010473057394
"25","(Intercept)",52.4498093868794,3146.98856321276,0.3591858472116,52.4498093868794,0.3591858472116,3146.98856321276,0.3591858472116,52.4498093868794,0.3591858472116,TRUE,0.57035353376,0.261939879005741,-3.04240448529488,-7.67320756965991,0.1975250850006,0.531051371060039,0.798929285332553,0.531051371060039,0.00552172975831178,0,182.242674278719,0.04700764179,3869.02962553477,1e-04,"1_289_1",1,289,1,289,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"26","trend",-0.127162566052231,648.859988583389,0.0740585229464898,10.8143331430565,0.0740585229464898,648.859988583389,0.0740585229464898,10.8143331430565,0.0740585229464898,TRUE,0.57035353376,0.261939879005741,-3.04240448529488,-7.67320756965991,0.1975250850006,0.531051371060039,0.798929285332553,0.531051371060039,0.00552172975831178,0,182.242674278719,0.04700764179,3869.02962553477,1e-04,"1_289_1",1,289,1,289,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"27","season",0.0477650200835362,700.238329156188,0.0799226601736448,11.6706388192698,0.0799226601736447,700.238329156188,0.0799226601736448,11.6706388192698,0.0799226601736447,TRUE,0.57035353376,0.261939879005741,-3.04240448529488,-7.67320756965991,0.1975250850006,0.531051371060039,0.798929285332553,0.531051371060039,0.00552172975831178,0,182.242674278719,0.04700764179,3869.02962553477,1e-04,"1_289_1",1,289,1,289,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"28","holiday",0,0,0,0,0,0,0,0,0,TRUE,0.57035353376,0.261939879005741,-3.04240448529488,-7.67320756965991,0.1975250850006,0.531051371060039,0.798929285332553,0.531051371060039,0.00552172975831178,0,182.242674278719,0.04700764179,3869.02962553477,1e-04,"1_289_1",1,289,1,289,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"29","facebook_s",90.8144989335987,2707.78707911827,0.30905698465227,45.1297846519711,0.30905698465227,2707.78707911827,0.30905698465227,45.1297846519711,0.30905698465227,TRUE,0.57035353376,0.261939879005741,-3.04240448529488,-7.67320756965991,0.1975250850006,0.531051371060039,0.798929285332553,0.531051371060039,0.00552172975831178,0,182.242674278719,0.04700764179,3869.02962553477,1e-04,"1_289_1",1,289,1,289,8,104450,1740.83333333333,2106.30850936917,365.47517603584,45.2125629501052,0.630927212322561,0.634831664878543,0.0259717929823486,0.0259242420212376,38.5739339719473,4,FALSE,112.151802433816,49.3278048778117,0,464.242538572748,0.536513032429256
"30","googlesearch_s",52.4651749010159,1557.57526640419,0.177775985015995,25.9595877734031,0.177775985015995,1557.57526640419,0.177775985015995,25.9595877734031,0.177775985015995,TRUE,0.57035353376,0.261939879005741,-3.04240448529488,-7.67320756965991,0.1975250850006,0.531051371060039,0.798929285332553,0.531051371060039,0.00552172975831178,0,182.242674278719,0.04700764179,3869.02962553477,1e-04,"1_289_1",1,289,1,289,8,61100,1018.33333333333,1051.50341810119,33.1700847678549,26.08427721261,0.369072787677439,0.365168335121457,0.0256146748405336,0.0254922302193811,39.2276388293294,4,FALSE,111.452986477725,48.841230471591,0,460.077443222627,0.0524743760850086
"31","(Intercept)",134.147753291995,8048.86519751971,0.947507761804923,134.147753291995,0.947507761804923,8048.86519751971,0.947507761804923,134.147753291995,0.947507761804923,TRUE,0.55513172093,-0.13329680096012,-4.69152377360547,-13.6414909013792,0.24694340684435,0.66237123772992,1.03513255859358,0.66237123772992,0.0033072051140044,0,2348.95139767031,0.6070771232,3869.02962553477,1e-04,"1_313_1",1,313,1,313,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"32","trend",-0.0142572503410206,72.7490768761728,0.00856397930798467,1.21248461460288,0.00856397930798467,72.7490768761728,0.00856397930798467,1.21248461460288,0.00856397930798467,TRUE,0.55513172093,-0.13329680096012,-4.69152377360547,-13.6414909013792,0.24694340684435,0.66237123772992,1.03513255859358,0.66237123772992,0.0033072051140044,0,2348.95139767031,0.6070771232,3869.02962553477,1e-04,"1_313_1",1,313,1,313,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"33","season",0.00535255190040605,78.468762138216,0.00923729735318403,1.3078127023036,0.00923729735318403,78.468762138216,0.00923729735318403,1.3078127023036,0.00923729735318403,TRUE,0.55513172093,-0.13329680096012,-4.69152377360547,-13.6414909013792,0.24694340684435,0.66237123772992,1.03513255859358,0.66237123772992,0.0033072051140044,0,2348.95139767031,0.6070771232,3869.02962553477,1e-04,"1_313_1",1,313,1,313,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"34","holiday",0,0,0,0,0,0,0,0,0,TRUE,0.55513172093,-0.13329680096012,-4.69152377360547,-13.6414909013792,0.24694340684435,0.66237123772992,1.03513255859358,0.66237123772992,0.0033072051140044,0,2348.95139767031,0.6070771232,3869.02962553477,1e-04,"1_313_1",1,313,1,313,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"35","facebook_s",6.40088417175042,185.239994932452,0.0218063452037051,3.0873332488742,0.0218063452037051,185.239994932452,0.0218063452037051,3.0873332488742,0.0218063452037051,TRUE,0.55513172093,-0.13329680096012,-4.69152377360547,-13.6414909013792,0.24694340684435,0.66237123772992,1.03513255859358,0.66237123772992,0.0033072051140044,0,2348.95139767031,0.6070771232,3869.02962553477,1e-04,"1_313_1",1,313,1,313,7,104450,1740.83333333333,1989.00100486411,248.167671530774,3.09544845861531,0.630927212322561,0.628588665159674,0.00177814176655738,0.00177348008551893,563.863111948842,4,FALSE,112.151802433816,49.3278048778117,0,464.242538572748,0.307427755115289
"36","googlesearch_s",3.58039265356721,109.451916009654,0.0128846163302033,1.8241986001609,0.0128846163302033,109.451916009654,0.0128846163302033,1.8241986001609,0.0128846163302033,TRUE,0.55513172093,-0.13329680096012,-4.69152377360547,-13.6414909013792,0.24694340684435,0.66237123772992,1.03513255859358,0.66237123772992,0.0033072051140044,0,2348.95139767031,0.6070771232,3869.02962553477,1e-04,"1_313_1",1,313,1,313,7,61100,1018.33333333333,1092.86142882921,74.528095495878,1.83721443995475,0.369072787677439,0.371411334840326,0.00180413856624034,0.00179135705416782,558.236001959169,4,FALSE,111.452986477725,48.841230471591,0,460.077443222627,0.0331623444178383
"37","(Intercept)",133.121351169351,7987.28107016107,0.937031349667394,133.121351169351,0.937031349667394,7987.28107016107,0.937031349667394,133.121351169351,0.937031349667394,TRUE,0.56004693929,-0.101823180720709,-5.36512676981977,-12.0979376623179,0.241341684596637,0.654911398942041,1.00763629180892,0.654911398942041,0.00406880610464087,0,1470.490525243,0.3800050115,3869.02962553477,1e-04,"1_406_1",1,406,1,406,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,NA,NA,NA,NA
"38","trend",-0.0209021936540747,106.655579207012,0.0125123456224997,1.77759298678354,0.0125123456224997,106.655579207012,0.0125123456224997,1.77759298678354,0.0125123456224997,TRUE,0.56004693929,-0.101823180720709,-5.36512676981977,-12.0979376623179,0.241341684596637,0.654911398942041,1.00763629180892,0.654911398942041,0.00406880610464087,0,1470.490525243,0.3800050115,3869.02962553477,1e-04,"1_406_1",1,406,1,406,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,NA,NA,NA,NA
"39","season",0.00784275162714066,114.975253559432,0.0134883718345188,1.91625422599054,0.0134883718345188,114.975253559432,0.0134883718345188,1.91625422599054,0.0134883718345188,TRUE,0.56004693929,-0.101823180720709,-5.36512676981977,-12.0979376623179,0.241341684596637,0.654911398942041,1.00763629180892,0.654911398942041,0.00406880610464087,0,1470.490525243,0.3800050115,3869.02962553477,1e-04,"1_406_1",1,406,1,406,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,NA,NA,NA,NA
"40","holiday",0,0,0,0,0,0,0,0,0,TRUE,0.56004693929,-0.101823180720709,-5.36512676981977,-12.0979376623179,0.241341684596637,0.654911398942041,1.00763629180892,0.654911398942041,0.00406880610464087,0,1470.490525243,0.3800050115,3869.02962553477,1e-04,"1_406_1",1,406,1,406,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,NA,NA,NA,NA
"41","facebook_s",6.66182911449916,197.908444082587,0.0232177151198638,3.29847406804313,0.0232177151198638,197.908444082587,0.0232177151198638,3.29847406804313,0.0232177151198638,TRUE,0.56004693929,-0.101823180720709,-5.36512676981977,-12.0979376623179,0.241341684596637,0.654911398942041,1.00763629180892,0.654911398942041,0.00406880610464087,0,1470.490525243,0.3800050115,3869.02962553477,1e-04,"1_406_1",1,406,1,406,7,104450,1740.83333333333,2112.508613014,371.675279680671,3.31084808988482,0.630927212322561,0.628050131934636,0.00190187539868922,0.00189476729614732,527.769294959506,7,FALSE,131.883807475755,59.9045236757869,0,520.644651049437,0.231257311079505
"42","googlesearch_s",3.82314084998957,117.207235414132,0.0137502177557242,1.95345392356887,0.0137502177557242,117.207235414132,0.0137502177557242,1.95345392356887,0.0137502177557242,TRUE,0.56004693929,-0.101823180720709,-5.36512676981977,-12.0979376623179,0.241341684596637,0.654911398942041,1.00763629180892,0.654911398942041,0.00406880610464087,0,1470.490525243,0.3800050115,3869.02962553477,1e-04,"1_406_1",1,406,1,406,7,61100,1018.33333333333,1184.92577676313,166.5924434298,1.9729149891847,0.369072787677439,0.371949868065364,0.0019373960613925,0.0019182853586601,521.29887531357,7,FALSE,131.165475202193,59.0214039668137,0,514.197365690772,0.0337545702713527
