"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","facebook_s_thetas","googlesearch_s_thetas","facebook_s_alphas","googlesearch_s_alphas","facebook_s_gammas","googlesearch_s_gammas","cluster","n","top_sol"
"1","1_186_1",0,0.00518366131268397,0.595068095213245,0.929866807953428,0.225982531036251,0.595068095213245,0.40985409047046,0.41802902603651,0.178582958320845,0.355211475766517,0.323868063025616,0.432997795829247,4,10,FALSE
"2","1_187_1",0,0.00798291369977172,0.501407542866864,0.783522959335797,0.196769750002876,0.501407542866864,0.590734128714737,0.201958157921577,0.102051710405133,0.241270632678618,0.534340547881788,0.0206840251056259,4,10,FALSE
"3","1_289_1",0,0.00552172975831178,0.531051371060039,0.798929285332553,0.1975250850006,0.531051371060039,0.828687362720428,0.106944078320877,0,0,0.292842492712057,0.253912753437324,4,10,FALSE
"4","1_313_1",0,0.0033072051140044,0.66237123772992,1.03513255859358,0.24694340684435,0.66237123772992,0.587418460084744,0.266981835542416,0.0994734196477624,0.252391637086943,0.48320184523747,0.138887263438787,4,10,FALSE
"5","1_406_1",0,0.00406880610464087,0.654911398942041,1.00763629180892,0.241341684596637,0.654911398942041,0.840693207470749,0.583102603927313,0.250669711442871,0.546306861572295,0.278954205581962,0.233151541174613,7,7,FALSE
"6","1_423_1",0,0.0107684143083382,0.335855050081446,0.524737129848801,0.143687759422036,0.335855050081446,0.499208681550665,0.447423510338766,0.422471254489801,0.941521899774664,0.338790571768104,0.0816551749257588,7,7,TRUE
"7","1_446_1",0,0.00581495808288218,0.538577091667217,0.81164019310014,0.199026178288285,0.538577091667217,0.337405647785986,0.212587158966702,0.253572619184529,0.636472607578593,0.647710667348205,0.0317563441521971,4,10,FALSE
"8","1_460_1",0,0.00597393051075997,0.412007962613482,0.620037192956156,0.161996922965101,0.412007962613482,0.485146625420956,0.990797129216884,0.367734361605997,0.655891531562717,0.493973469922553,0,7,7,FALSE
"9","1_464_1",0,0.0101702479588542,0.169036588793753,0.300961053508743,0.0569371301192996,0.169036588793753,0.469915666554859,0.029576778459697,0.674594600192483,0.785172832643696,0.45967430369532,0.000951129643850339,4,10,TRUE
"10","1_504_1",0,0.00478051680371169,0.469504720176845,0.732915036294598,0.187265592991767,0.469504720176845,0.615956183165906,0.0346052803036284,0.200239468693588,0.365427593504365,0.480786703448024,0.617639776662688,4,10,FALSE
"11","1_531_1",0,0.00502835864558032,0.212396556236502,0.309052466393247,0.0939524835463528,0.212396556236502,0.477605796121519,0.0235823357627465,0.431645973725422,0.774722402046674,0.61076816329167,0.23415260018464,4,10,FALSE
"12","1_542_1",0,0.0159606790520965,0.130228695305321,0.199976266433134,0.0722221815572499,0.130228695305321,0.509049400494904,0,0.65222963260404,0.834466525986335,0.461533370732763,0.617614157430856,2,18,FALSE
"13","1_547_1",0,0.00938935495148544,0.210990313674313,0.32537138416347,0.103152342803829,0.210990313674313,0.512722914450361,0.136416842267776,0.539442930394186,0.876892344312033,0.558251338326624,0.502027454937518,3,13,FALSE
"14","1_550_1",0,0.00431950370600898,0.432438489090223,0.65191745010565,0.168465633724498,0.432438489090223,0.382459192224398,0.0711503848016891,0.367734361605997,0.815214253247161,0.493973469922553,0.171535763739646,4,10,FALSE
"15","1_570_1",0,0.0020474474680281,0.153000458088279,0.272416452175182,0.0478130043849036,0.153000458088279,0.0135335933331687,0.14148261494504,0.594167884110196,0.704366805592972,0.728867257816136,0.378698047153106,8,8,FALSE
