"","facebook_s_alphas","facebook_s_gammas","facebook_s_thetas","googlesearch_s_alphas","googlesearch_s_gammas","googlesearch_s_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",0.99580036775,0.60519826176,0.09071726442,1.739324316,0.62350396414,0.10501757508,0.54952157519,0.0509293806180068,-3.59366113314002,-10.8150307265928,0.225982531036251,0.595068095213245,0.929866807953428,0.595068095213245,0.00518366131268397,0,444.512007266795,0.1148012717,3869.02962553477,1e-04,1,0.111468076705933,31.4556767940521,"1_186_1",1,186,1,186,FALSE,TRUE,8,0.229893983034439,4,FALSE
"2",0.81058215875,0.72375346559,0.12800326116,1.516772813,0.354640287289,0.05446189647,0.55147337888,0.280442573691106,-2.26142464505084,-7.38874162266073,0.196769750002876,0.501407542866864,0.783522959335797,0.501407542866864,0.00798291369977172,0,177.238325872755,0.04571407483,3869.02962553477,1e-04,1,0.12437629699707,31.5955243110657,"1_187_1",1,187,1,187,FALSE,TRUE,9,0.190134874730985,4,FALSE
"3",0.99580036775,0.60519826176,0.09071726442,1.739324316,0.62350396414,0.10501757508,0.55402700372,0.0509293806180068,-3.59366113314002,-10.8150307265928,0.225982531036251,0.595068095213245,0.929866807953428,0.595068095213245,0.00518366131268397,0,444.512007266795,0.1148012717,3869.02962553477,1e-04,1,0.115286588668823,35.636198759079,"1_216_1",1,216,1,216,FALSE,TRUE,8,0.229893983034439,NA,NA
"4",0.81058215875,0.72375346559,0.12800326116,1.516772813,0.354640287289,0.05446189647,0.54068672294,0.275361593481701,-2.88834338473582,-8.61179973787101,0.199557417994933,0.553506538042292,0.808848736566607,0.553506538042292,0.0027443119844929,0,161.164442183405,0.04155915931,3869.02962553477,1e-04,1,0.139740705490112,35.7885067462921,"1_217_1",1,217,1,217,FALSE,TRUE,6,0.197007442469882,NA,NA
"5",0.563600232525,0.58772213981,0.17705413263,1.0455182525,0.50672527183,0.03223075854,0.57035353376,0.261939879005741,-3.04240448529488,-7.67320756965991,0.1975250850006,0.531051371060039,0.798929285332553,0.531051371060039,0.00552172975831178,0,182.242674278719,0.04700764179,3869.02962553477,1e-04,1,0.144927024841309,46.5260376930237,"1_289_1",1,289,1,289,FALSE,TRUE,8,0.194315705359086,4,FALSE
"6",0.804342271,0.69494799337,0.12731978049,1.53849457825,0.43171886077,0.06967596108,0.55513172093,-0.13329680096012,-4.69152377360547,-13.6414909013792,0.24694340684435,0.66237123772992,1.03513255859358,0.66237123772992,0.0033072051140044,0,2348.95139767031,0.6070771232,3869.02962553477,1e-04,1,0.0934066772460938,49.5766904354095,"1_313_1",1,313,1,313,FALSE,TRUE,7,0.258495430627629,4,FALSE
"7",1.17026216825,0.57989912811,0.17952897669,2.11257559425,0.49318719413,0.14364104535,0.56004693929,-0.101823180720709,-5.36512676981977,-12.0979376623179,0.241341684596637,0.654911398942041,1.00763629180892,0.654911398942041,0.00406880610464087,0,1470.490525243,0.3800050115,3869.02962553477,1e-04,1,0.190214872360229,64.5270655155182,"1_406_1",1,406,1,406,FALSE,TRUE,7,0.251024628877966,7,FALSE
"8",1.586050163,0.6136038311,0.10913651634,2.88451740525,0.39439866716,0.11189521719,0.54332421515,0.616303058420368,-0.463286576735412,-2.76250386869708,0.143687759422036,0.335855050081446,0.524737129848801,0.335855050081446,0.0107684143083382,0,58.1930582687636,0.01494223154,3869.02962553477,1e-04,1,0.148646354675293,67.6009874343872,"1_423_1",1,423,1,423,FALSE,TRUE,9,0.119834845540798,7,TRUE
"9",1.1772876825,0.78761272791,0.07578298851,2.2886891085,0.361860381842,0.05694884145,0.57390812159,0.250679467909621,-3.15778905644833,-7.95138320622653,0.199026178288285,0.538577091667217,0.81164019310014,0.538577091667217,0.00581495808288218,0,196.0669766945,0.05058106622,3869.02962553477,1e-04,1,0.147936344146729,71.5281026363373,"1_446_1",1,446,1,446,FALSE,TRUE,9,0.197770061918747,4,FALSE
"10",1.45357787825,0.70101544756,0.10623781185,2.326618534,0.341152542186,0.23903231013,0.56169729287,0.503566870717929,-1.51914506719972,-3.95941898329753,0.161996922965101,0.412007962613482,0.620037192956156,0.412007962613482,0.00597393051075997,0,77.2327187917116,0.01986376653,3869.02962553477,1e-04,1,0.150513172149658,73.8951902389526,"1_460_1",1,460,1,460,FALSE,TRUE,7,0.145708265050911,7,FALSE
